category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Accessibility compliance,Zugriff für Personen mit Einschränkungen,Accessibility compliance,de.laser.RefdataValue,y.n.o,,,,Aussagen über Zugriffmöglichkeiten für Personen mit Einschränkungen.,"An agreement that the data is provided in a form compliant with relevant accessibility (disabilities) legislation. For more information, see guidelines set forth by the World Wide Web Consortium at http://www.w3.org/wai/.",,,,
License Property,All rights reserved indicator,Hinweis auf 'Alle Rechte vorbehalten',All rights reserved indicator,de.laser.RefdataValue,y.n.o,,,,A clause stating that all intellectual property rights not explicitly granted to the licensee are retained by the licensor.,A clause stating that all intellectual property rights not explicitly granted to the licensee are retained by the licensor.,,,,
License Property,Alumni Access,Alumni Access,Alumni Access,de.laser.RefdataValue,y.n.o,,,,"Aussage darüber, ob der Zugriff auf die lizenzierten Produkte für Alumni ermöglicht wird.","Decision whether people who have completed their studies, have access.",,,,
License Property,APC Discount,Sonderkonditionen für Autoren,APC Discount,java.lang.String,,,,,Sonderkonditionen für Autoren aus teilnehmenden Einrichtungen.z. B. APC-Rabatt.,,,,,
License Property,Applicable copyright law,Urheberrechtsgesetz,Applicable copyright law,java.lang.String,,,,,Das anzuwendende Urheberrecht.,A clause that specifies the national copyright law agreed to in the contract.,,,,
License Property,Archival Copy Content,Archivkopie Form,Archival Copy Content,de.laser.RefdataValue,license.arc.archival.copy.content,,true,,"Erklärung: Aussagen über den zu erhaltenen Datenträger mit Archivmaterial, z. B. Rohdaten, inkl. Struktur, ohne DRM, inkl. Metadaten, inkl. Software.",,,,,
License Property,Archival Copy: Cost,Archivkopie Kosten,Archival Copy: Cost,de.laser.RefdataValue,license.arc.archival.copy.cost,,true,,Aussagen über die Kosten der Archivkopieerstellung.,,,,,
License Property,Archival Copy: Permission,Archivkopie Recht,Archival Copy: Permission,de.laser.RefdataValue,y.n.o,,,,"Aussage, ob ein Recht auf eine Archivkopie besteht.",,,,,
License Property,Archival Copy: Time,Archivkopie Zeitpunkt,Archival Copy: Time,de.laser.RefdataValue,license.arc.archival.copy.time,,true,,"Aussagen über den Zeitpunkt, an welchem die Archivkopie angefertigt wird.",,,,,
License Property,Archiving format,Archivdaten Übermittlungsformat,Archiving format,de.laser.RefdataValue,license.arc.archival.copy.transmission.format,,true,,,"The format of the archival content. Values should be site-definable (e.g. remote, CD-ROM).",,,,
